New TCP connections detected: 150.124.181.229 -> True: 8986, Estimated: 9912, ARE: 0.1030
New TCP connections detected: 150.124.182.98 -> True: 303, Estimated: 1143, ARE: 1.0000
New TCP connections detected: 150.124.183.228 -> True: 332, Estimated: 1189, ARE: 1.0000
New TCP connections detected: 150.124.207.130 -> True: 566, Estimated: 1317, ARE: 1.0000
New TCP connections detected: 150.124.225.67 -> True: 401, Estimated: 1311, ARE: 1.0000
New TCP connections detected: 150.124.243.214 -> True: 267, Estimated: 1136, ARE: 1.0000
New TCP connections detected: 150.124.244.56 -> True: 1223, Estimated: 2072, ARE: 0.6942
New TCP connections detected: 152.125.45.239 -> True: 260, Estimated: 1140, ARE: 1.0000
New TCP connections detected: 153.65.100.158 -> True: 342, Estimated: 1283, ARE: 1.0000
New TCP connections detected: 157.90.154.232 -> True: 222, Estimated: 1158, ARE: 1.0000
New TCP connections detected: 157.90.225.132 -> True: 215, Estimated: 1139, ARE: 1.0000
New TCP connections detected: 157.90.8.172 -> True: 216, Estimated: 1040, ARE: 1.0000
New TCP connections detected: 162.227.133.120 -> True: 562, Estimated: 1481, ARE: 1.0000
New TCP connections detected: 163.19.0.132 -> True: 464, Estimated: 1257, ARE: 1.0000
New TCP connections detected: 163.19.21.15 -> True: 296, Estimated: 1224, ARE: 1.0000
New TCP connections detected: 163.19.21.3 -> True: 294, Estimated: 1150, ARE: 1.0000
New TCP connections detected: 163.19.34.75 -> True: 931, Estimated: 1790, ARE: 0.9227
New TCP connections detected: 163.19.4.219 -> True: 372, Estimated: 1173, ARE: 1.0000
New TCP connections detected: 163.19.46.47 -> True: 306, Estimated: 1205, ARE: 1.0000
New TCP connections detected: 163.19.7.47 -> True: 299, Estimated: 1139, ARE: 1.0000
New TCP connections detected: 175.214.57.206 -> True: 462, Estimated: 1326, ARE: 1.0000
New TCP connections detected: 18.187.122.62 -> True: 201, Estimated: 983, ARE: 1.0000
New TCP connections detected: 202.12.26.38 -> True: 312, Estimated: 1226, ARE: 1.0000
New TCP connections detected: 202.21.42.137 -> True: 304, Estimated: 1186, ARE: 1.0000
New TCP connections detected: 202.21.42.172 -> True: 337, Estimated: 1117, ARE: 1.0000
New TCP connections detected: 202.21.42.54 -> True: 300, Estimated: 1088, ARE: 1.0000
New TCP connections detected: 202.21.43.188 -> True: 62689, Estimated: 63552, ARE: 0.0138
New TCP connections detected: 202.21.43.4 -> True: 299, Estimated: 1250, ARE: 1.0000
New TCP connections detected: 202.21.45.96 -> True: 312, Estimated: 1160, ARE: 1.0000
New TCP connections detected: 202.215.76.58 -> True: 2176, Estimated: 2981, ARE: 0.3699
New TCP connections detected: 202.215.83.244 -> True: 2651, Estimated: 3563, ARE: 0.3440
New TCP connections detected: 202.215.86.233 -> True: 315, Estimated: 1098, ARE: 1.0000
New TCP connections detected: 202.218.88.107 -> True: 627, Estimated: 1455, ARE: 1.0000
New TCP connections detected: 202.218.93.50 -> True: 304, Estimated: 1067, ARE: 1.0000
New TCP connections detected: 202.218.95.11 -> True: 325, Estimated: 1068, ARE: 1.0000
New TCP connections detected: 202.218.95.154 -> True: 361, Estimated: 1173, ARE: 1.0000
New TCP connections detected: 202.7.166.224 -> True: 317, Estimated: 1107, ARE: 1.0000
New TCP connections detected: 203.193.112.245 -> True: 293, Estimated: 1118, ARE: 1.0000
New TCP connections detected: 203.193.115.144 -> True: 7555, Estimated: 8380, ARE: 0.1092
New TCP connections detected: 203.193.115.153 -> True: 236, Estimated: 1092, ARE: 1.0000
New TCP connections detected: 203.193.116.105 -> True: 1341, Estimated: 2155, ARE: 0.6070
New TCP connections detected: 203.193.118.180 -> True: 603, Estimated: 1491, ARE: 1.0000
New TCP connections detected: 203.193.120.37 -> True: 373, Estimated: 1185, ARE: 1.0000
New TCP connections detected: 203.193.120.56 -> True: 289, Estimated: 1129, ARE: 1.0000
New TCP connections detected: 203.193.121.131 -> True: 312, Estimated: 1141, ARE: 1.0000
New TCP connections detected: 203.193.121.80 -> True: 8551, Estimated: 9400, ARE: 0.0993
New TCP connections detected: 203.193.121.85 -> True: 309, Estimated: 1166, ARE: 1.0000
New TCP connections detected: 203.193.122.75 -> True: 351, Estimated: 1013, ARE: 1.0000
New TCP connections detected: 203.193.124.230 -> True: 288, Estimated: 1068, ARE: 1.0000
